"day","month","year","canton","muni","department","MUNID","military","victims","notes","reference","X","X.1","id"
8,6,1981,"Capanano Similay","Nenton","Huehuetenango",197,"Y",32,"","Casos Presentados Anexo II Tomo IX",NA,"","8-11"
NA,11,1980,"Chacula","Nenton","Huehuetenango",197,"Y",5,"","Casos Presentados Anexo II Tomo IX",NA,"","8-11"
25,5,1982,"Coyagual","San Antonio Huista","Huehuetenango",216,"Y",9,"","Casos Presentados Anexo II Tomo IX",NA,"","8-13"
15,2,1981,"El tablon","San Antonio Huista","Huehuetenango",216,"Y",7,"","Casos Presentados Anexo II Tomo IX",NA,"","8-13"
NA,NA,1981,"Papul de Acutel","San Ildefonso Ixtahuacan","Huehuetenango",201,"Y",20,"","Casos Presentados Anexo II Tomo IX",NA,"","8-15"
NA,NA,1980,"La Cubre Papal","San Ildefonso Ixtahuacan","Huehuetenango",201,"Y",19,"","Casos Presentados Anexo II Tomo IX",NA,"","8-15"
12,7,1982,"Cabeb","San Mateo Ixtatan","Huehuetenango",210,"Y",54,"","Casos Presentados Anexo II Tomo IX",1,"","8-18"
31,5,1981,"","San Mateo Ixtatan","Huehuetenango",210,"Y",55,"","Casos Presentados Anexo II Tomo IX",1,"","8-18"
15,7,1982,"Balej","San Mateo Ixtatan","Huehuetenango",210,"Y",5,"","Casos Presentados Anexo II Tomo IX",NA,"","8-18"
12,9,1982,"","San Mateo Ixtatan","Huehuetenango",210,"Y",6,"","Casos Presentados Anexo II Tomo IX",2,"","8-18"
21,7,1982,"Balej","San Mateo Ixtatan","Huehuetenango",210,"Y",7,"","Casos Presentados Anexo II Tomo IX",NA,"","8-18"
15,7,1982,"","San Mateo Ixtatan","Huehuetenango",210,"Y",83,"","Casos Presentados Anexo II Tomo IX",NA,"","8-18"
16,6,1982,"Xeguel","San Mateo Ixtatan","Huehuetenango",210,"Y",NA,"","Casos Presentados Anexo II Tomo IX",2,"","8-18"
22,6,1982,"El Poblado","San Mateo Ixtatan","Huehuetenango",210,"Y",20,"","Casos Presentados Anexo II Tomo IX",NA,"","8-18"
NA,12,1982,"Barillian","San Mateo Ixtatan","Huehuetenango",210,"Y",54,"","Casos Presentados Anexo II Tomo IX",2,"","8-18"
13,7,1982,"Yoculac","San Mateo Ixtatan","Huehuetenango",210,"Y",13,"","Casos Presentados Anexo II Tomo IX",NA,"","8-18"
NA,8,1982,"Yaca","San Mateo Ixtatan","Huehuetenango",210,"Y",6,"","Casos Presentados Anexo II Tomo IX",NA,"","8-18"
25,7,1982,"","San Miguel Acatan","Huehuetenango",205,"Y",7,"","Casos Presentados Anexo II Tomo IX",NA,"","8-19"
4,8,1982,"Chimbian","San Miguel Acatan","Huehuetenango",205,"Y",56,"","Casos Presentados Anexo II Tomo IX",NA,"","8-19"
NA,NA,1980,"Xocol","San Miguel Acatan","Huehuetenango",205,"Y",10,"","Casos Presentados Anexo II Tomo IX",NA,"","8-19"
2,8,1982,"Ixmil","San Pedro Necta","Huehuetenango",198,"Y",14,"","Casos Presentados Anexo II Tomo IX",NA,"","8-20"
NA,10,1982,"Lajcholaj","San Rafael La Independencia","Huehuetenango",206,"Y",56,"","Casos Presentados Anexo II Tomo IX",1,"","8-22"
30,8,1981,"Ixcanac","San Rafael La Independencia","Huehuetenango",206,"Y",5,"","Casos Presentados Anexo II Tomo IX",NA,"","8-22"
10,1,1982,"Agua Escondida","Santa Ana Huista","Huehuetenango",223,"Y",13,"","Casos Presentados Anexo II Tomo IX",1,"","8-26"
10,5,1982,"Agua Escondida","Santa Ana Huista","Huehuetenango",223,"Y",14,"","Casos Presentados Anexo II Tomo IX",2,"","8-26"
NA,NA,1982,"","Santa Ana Huista","Huehuetenango",223,"Y",8,"","Casos Presentados Anexo II Tomo IX",NA,"","8-26"
NA,NA,1980,"Aldea Buena vista","Santa Ana Huista","Huehuetenango",223,"Y",10,"","Casos Presentados Anexo II Tomo IX",NA,"","8-26"
14,1,1981,"","Santa Ana Huista","Huehuetenango",223,"Y",14,"","Casos Presentados Anexo II Tomo IX",NA,"","8-26"
NA,NA,1982,"Bara Vista","Santa Ana Huista","Huehuetenango",223,"Y",10,"","Casos Presentados Anexo II Tomo IX",2,"","8-26"
10,2,1982,"Cruz Quamala","Santa Barbara","Huehuetenango",202,"Mil and Pac",11,"","Casos Presentados Anexo II Tomo IX",NA,"","8-27"
NA,9,1983,"","Santa Eulalia","Huehuetenango",209,"Y",6,"","Casos Presentados Anexo II Tomo IX",1,"","8-29"
13,3,1982,"Molona","Santa Eulalia","Huehuetenango",209,"Y",6,"","Casos Presentados Anexo II Tomo IX",NA,"","8-29"
15,3,1982,"","Todos Santos Cuchumatan","Huehuetenango",207,"Y",NA,"","Casos Presentados Anexo II Tomo IX",NA,"","8-32"
23,3,1982,"El Rancho","Todos Santos Cuchumatan","Huehuetenango",207,"Y",18,"","Casos Presentados Anexo II Tomo IX",NA,"","8-32"
17,7,1982,"La Majadas","Aguacatan","Huehuetenango",219,"Y",18,"One family","Casos Presentados Anexo II Tomo X",2,"","8-1"
10,8,1983,"","El Estor","Izabal",278,"Y",7,"One family","Casos Presentados Anexo II Tomo IX",NA,"","9-1"
NA,NA,1985,"Las Flores","Dolores","Peten",271,"Y",7,"","Casos Presentados Anexo II Tomo IX",NA,"","12-1"
NA,NA,1981,"Pumpal","Dolores","Peten",271,"Y",20,"","Casos Presentados Anexo II Tomo IX",NA,"","12-1"
10,3,1982,"Los Angeles","Dolores","Peten",271,"Y",23,"","Casos Presentados Anexo II Tomo IX",NA,"","12-1"
30,4,1981,"Tres Aguas","Flores","Peten",264,"Y",20,"","Casos Presentados Anexo II Tomo IX",NA,"","12-3"
27,12,1982,"La Technica","La Libertad","Peten",268,"Y",6,"","Casos Presentados Anexo II Tomo IX",NA,"","12-4"
29,4,1982,"Los Josephenes","La Libertad","Peten",268,"Y",25,"","Casos Presentados Anexo II Tomo IX",NA,"","12-4"
23,12,1982,"Buena Fe","La Libertad","Peten",268,"Y",NA,"","Casos Presentados Anexo II Tomo IX",NA,"","12-4"
NA,NA,1980,"","La Libertad","Peten",268,"Y",5,"","Casos Presentados Anexo II Tomo IX",NA,"","12-4"
NA,4,1982,"Palencia","La Libertad","Peten",268,"Y",13,"","Casos Presentados Anexo II Tomo IX",NA,"","12-4"
17,6,1981,"La Bohema","La Libertad","Peten",268,"Y",NA,"","Casos Presentados Anexo II Tomo IX",NA,"","12-4"
1,1,1981,"Palmira","Colomba Costa Cuca","Quetzaltenango",126,"Y",21,"","Casos Presentados Anexo II Tomo IX",NA,"","13-6"
30,8,1984,"","Concepcion Chiquirichapa","Quetzaltenango",120,"Y",13,"","Casos Presentados Anexo II Tomo IX",NA,"","13-7"
17,11,1980,"Los Alamos","San Juan Ostuncalco","Quetzaltenango",118,"Y",12,"","Casos Presentados Anexo II Tomo IX",NA,"","13-19"
30,8,1984,"","San Martin Sacatepequez","Quetzaltenango",121,"Y",13,"","Casos Presentados Anexo II Tomo IX",NA,"","13-20"
NA,NA,1982,"Tibuj","Tajumulco","San Marcos",172,"Y",44,"","Casos Presentados Anexo II Tomo IX",NA,"","17-29"
NA,NA,1981,"Sajquim","Canilla","Quiche",241,"Y",6,"","Casos Presentados Anexo II Tomo X",NA,"","14-1"
4,4,1982,"Amchel","Chajul","Quiche",228,"Y",9,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
5,4,1982,"Fince Covadonga","Chajul","Quiche",228,"Y",42,"","Casos Presentados Anexo II Tomo X",1,"","14-2"
NA,NA,1981,"Chacalte","Chajul","Quiche",228,"Y",5,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
NA,NA,1980,"","Chajul","Quiche",228,"Y",15,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
NA,9,1980,"","Chajul","Quiche",228,"Y",6,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
12,3,1981,"Ixla","Chajul","Quiche",228,"Y",60,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
12,4,1982,"Xesai","Chajul","Quiche",228,"Y",46,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
13,2,1982,"","Chajul","Quiche",228,"Y",56,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
NA,1,1982,"Chacalte","Chajul","Quiche",228,"Y",12,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
12,3,1982,"Chaxa","Chajul","Quiche",228,"Y",27,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
28,4,1981,"Chel","Chajul","Quiche",228,"Y",42,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
18,5,1982,"Sotzil","Chajul","Quiche",228,"Mil and Pac",9,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
4,4,1984,"Cimientos","Chajul","Quiche",228,"Mil and Pac",15,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
23,3,1982,"La Perla","Chajul","Quiche",228,"Mil and Pac",250,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
NA,10,1984,"Santa Rosa","Chajul","Quiche",228,"Y",21,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
NA,12,1983,"Tesoro","Chajul","Quiche",228,"Y",35,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
3,4,1984,"Cimientos","Chajul","Quiche",228,"Mil and Pac",21,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
NA,NA,1982,"San Joaquin","Chajul","Quiche",228,"Y",9,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
NA,3,1982,"Xemal","Chajul","Quiche",228,"Mil and Pac",13,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
NA,1,1981,"Xeputul","Chajul","Quiche",228,"Y",26,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
11,1,1981,"Ilom","Chajul","Quiche",228,"Y",20,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
NA,NA,1985,"Pal","Chajul","Quiche",228,"Y",10,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
NA,10,1980,"Jua","Chajul","Quiche",228,"Y",9,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
6,4,1982,"Perla","Chajul","Quiche",228,"Mil and Pac",39,"","Casos Presentados Anexo II Tomo X",2,"","14-2"
NA,NA,1985,"","Chajul","Quiche",228,"Y",9,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
10,4,1982,"Cesayi","Chajul","Quiche",228,"Y",42,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
NA,NA,1982,"Cajchixla","Chajul","Quiche",228,"Y",12,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
15,12,1982,"Panaman","Chinique","Quiche",226,"Y",42,"","Casos Presentados Anexo II Tomo X",2,"","14-6"
NA,NA,1982,"El Peligro","Chinique","Quiche",226,"Y",10,"","Casos Presentados Anexo II Tomo X",2,"","14-6"
26,12,1982,"","Chiche","Quiche",225,"Mil and Pac",75,"","Casos Presentados Anexo II Tomo X",1,"","14-4"
4,8,1982,"Chucalibal","Chiche","Quiche",225,"Y",5,"","Casos Presentados Anexo II Tomo X",1,"","14-4"
28,5,1982,"Tuluche","Chiche","Quiche",225,"Mil and Pac",7,"One family","Casos Presentados Anexo II Tomo X",NA,"","14-4"
1,5,1982,"Chupoj","Chiche","Quiche",225,"Y",6,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
4,5,1984,"Choyomche","Chiche","Quiche",225,"Y",8,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
29,6,1981,"Chupoj","Chiche","Quiche",225,"Mil and Pac",54,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
3,10,1980,"Caserio Los Cerritos","Chiche","Quiche",225,"Y",8,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
31,5,1982,"Los Tzoc","Chiche","Quiche",225,"Mil and Pac",24,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
NA,1,1981,"Membrillal Segundo Centro","Chiche","Quiche",225,"Y",5,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
20,4,1981,"Chuaxan","Chiche","Quiche",225,"Mil and Pac",21,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
NA,2,1981,"Los Tzoc","Chiche","Quiche",225,"Mil and Pac",6,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
NA,12,1981,"Laguna Seca","Chiche","Quiche",225,"Y",22,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
NA,8,1981,"Chupoj","Chiche","Quiche",225,"Y",7,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
21,3,1981,"Carrizal","Chiche","Quiche",225,"Y",22,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
22,11,1982,"Tuluche","Chiche","Quiche",225,"Mil and Pac",422,"","Casos Presentados Anexo II Tomo IX",1,"","14-4"
20,4,1982,"Tuluche","Chiche","Quiche",225,"Y",7,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
NA,NA,1982,"Laguna","Chiche","Quiche",225,"Y",14,"","Casos Presentados Anexo II Tomo X",NA,"","14-4"
17,8,1981,"Chuguexa","Santo Tomas Chichicastenango","Quiche",229,"Y",26,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
25,7,1980,"Chuguexa II","Santo Tomas Chichicastenango","Quiche",229,"Y",25,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
NA,10,1981,"Sacupulub","Santo Tomas Chichicastenango","Quiche",229,"Y",4,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
10,8,1982,"Chichicastenango","Santo Tomas Chichicastenango","Quiche",229,"Y",18,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
NA,12,1982,"TZANIMACABAJ","Santo Tomas Chichicastenango","Quiche",229,"Mil and Pac",5,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
NA,12,1981,"Lacama","Santo Tomas Chichicastenango","Quiche",229,"Y",92,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
12,5,1981,"Lacama III","Santo Tomas Chichicastenango","Quiche",229,"Y",28,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
2,8,1982,"Lacam","Santo Tomas Chichicastenango","Quiche",229,"Y",214,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
6,11,1981,"Chontala","Santo Tomas Chichicastenango","Quiche",229,"Y",23,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
NA,9,1982,"Chipaca","Santo Tomas Chichicastenango","Quiche",229,"Y",45,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
4,8,1982,"Chucalibal","Santo Tomas Chichicastenango","Quiche",229,"Y",5,"","Casos Presentados Anexo II Tomo X",2,"","14-5"
NA,11,1981,"TZANIMACABAJ","Santo Tomas Chichicastenango","Quiche",229,"Y",4,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
NA,6,1981,"Xabiyaguach","Santo Tomas Chichicastenango","Quiche",229,"Mil and Pac",28,"","Casos Presentados Anexo II Tomo X",NA,"Coded 1981 Says 1980/1981","14-5"
NA,12,1981,"Chulumal","Santo Tomas Chichicastenango","Quiche",229,"Y",NA,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
NA,7,1980,"Agua Escondida","Santo Tomas Chichicastenango","Quiche",229,"Y",60,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
25,3,1982,"Lacama","Santo Tomas Chichicastenango","Quiche",229,"Y",7,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
NA,7,1982,"Chuguexa Primer Centro","Santo Tomas Chichicastenango","Quiche",229,"Y",57,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
NA,10,1980,"Chupol","Santo Tomas Chichicastenango","Quiche",229,"Y",8,"6 from one family","Casos Presentados Anexo II Tomo X",NA,"","14-5"
NA,2,1982,"Chupol","Santo Tomas Chichicastenango","Quiche",229,"Y",NA,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
NA,4,1982,"Agua Escondida","Santo Tomas Chichicastenango","Quiche",229,"Y",13,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
28,7,1983,"Chijtinimit","Santo Tomas Chichicastenango","Quiche",229,"Mil and Pac",21,"","Casos Presentados Anexo II Tomo X",NA,"","14-5"
7,4,1982,"Chinil Primer","Chinique","Quiche",226,"Y",24,"","Casos Presentados Anexo II Tomo X",2,"","14-6"
22,5,1982,"La Puerta","Chinique","Quiche",226,"Mil and Pac",41,"","Casos Presentados Anexo II Tomo X",NA,"","14-6"
5,5,1982,"Agua Tibia","Chinique","Quiche",226,"Y",6,"5 from one family","Casos Presentados Anexo II Tomo X",2,"","14-6"
10,5,1982,"","Chinique","Quiche",226,"Y",6,"","Casos Presentados Anexo II Tomo X",NA,"","14-6"
NA,6,1981,"","San Juan Cotzal","Quiche",234,"Y",65,"","Casos Presentados Anexo II Tomo X",1,"","14-17"
28,7,1980,"","San Juan Cotzal","Quiche",234,"Y",160,"","Casos Presentados Anexo II Tomo X",1,"","14-17"
30,1,1981,"Villa Hortensia","San Juan Cotzal","Quiche",234,"Y",98,"","Casos Presentados Anexo II Tomo X",NA,"","14-17"
NA,NA,1980,"Asich","San Juan Cotzal","Quiche",234,"Y",9,"","Casos Presentados Anexo II Tomo X",NA,"","14-17"
5,5,1981,"San Fransisco","San Juan Cotzal","Quiche",234,"Y",74,"","Casos Presentados Anexo II Tomo X",NA,"","14-17"
NA,12,1981,"Cajixay","San Juan Cotzal","Quiche",234,"Y",6,"","Casos Presentados Anexo II Tomo X",NA,"","14-17"
17,5,1981,"","San Juan Cotzal","Quiche",234,"Y",15,"","Casos Presentados Anexo II Tomo X",NA,"","14-17"
NA,NA,1980,"Chichel","San Juan Cotzal","Quiche",234,"Y",9,"","Casos Presentados Anexo II Tomo X",NA,"","14-17"
NA,NA,1980,"Conrab","San Juan Cotzal","Quiche",234,"Y",6,"","Casos Presentados Anexo II Tomo X",NA,"","14-17"
NA,5,1981,"San Fransico","San Juan Cotzal","Quiche",234,"Y",16,"","Casos Presentados Anexo II Tomo X",NA,"","14-17"
NA,1,1983,"Haciendas","San Juan Cotzal","Quiche",234,"Y",50,"","Casos Presentados Anexo II Tomo X",NA,"","14-17"
8,1,1982,"Juaventau","San Juan Cotzal","Quiche",234,"Y",8,"One family","Casos Presentados Anexo II Tomo X",NA,"","14-17"
9,7,1981,"","Cunen","Quiche",233,"Y",5,"","Casos Presentados Anexo II Tomo X",NA,"","14-7"
NA,2,1982,"Chiul","Cunen","Quiche",233,"Y",NA,"","Casos Presentados Anexo II Tomo X",1,"","14-7"
NA,3,1982,"Chiul","Cunen","Quiche",233,"Y",NA,"","Casos Presentados Anexo II Tomo X",1,"","14-7"
NA,4,1982,"Chiul","Cunen","Quiche",233,"Y",NA,"","Casos Presentados Anexo II Tomo X",1,"","14-7"
17,1,1982,"Cunen","Cunen","Quiche",233,"Y",104,"","Casos Presentados Anexo II Tomo X",NA,"","14-7"
29,10,1981,"Chipaj","Patzite","Quiche",230,"Mil and Pac",8,"","Casos Presentados Anexo II Tomo X",2,"","14-12"
28,4,1981,"Xalbal","Ixcan","Quiche",238,"Y",42,"","Casos Presentados Anexo II Tomo X",1,"","14-20"
3,6,1983,"Mayalan","Ixcan","Quiche",238,"Y",105,"","Casos Presentados Anexo II Tomo X",1,"","14-20"
20,12,1981,"San Juan","Ixcan","Quiche",238,"Y",17,"","Casos Presentados Anexo II Tomo X",1,"","14-20"
NA,NA,1980,"Ascension Copon","Ixcan","Quiche",238,"Y",12,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,6,1985,"Centro Nueva Linda","Ixcan","Quiche",238,"Y",5,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
20,2,1982,"El Quetzal","Ixcan","Quiche",238,"Y",153,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
18,5,1982,"Ixtahuacan Chiquito","Ixcan","Quiche",238,"Y",64,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
23,11,1983,"Pueblo Nuevo","Ixcan","Quiche",238,"Y",18,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
27,2,1982,"Kabil Balam","Ixcan","Quiche",238,"Y",18,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
11,2,1982,"Trinitaria","Ixcan","Quiche",238,"Y",60,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,2,1982,"San Antonio Tzeja","Ixcan","Quiche",238,"Y",16,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,NA,1982,"Ressureccion","Ixcan","Quiche",238,"Y",14,"","Casos Presentados Anexo II Tomo X",2,"","14-20"
28,1,1983,"Santa Maria Dolores","Ixcan","Quiche",238,"Y",76,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,NA,1982,"Mayalan","Ixcan","Quiche",238,"Y",16,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,NA,1982,"San Lucas","Ixcan","Quiche",238,"Y",7,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,10,1982,"Ixcan Grande","Ixcan","Quiche",238,"Y",13,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,6,1982,"Kaibil Balam","Ixcan","Quiche",238,"Y",22,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
15,2,1982,"Santa Maria Tzeja","Ixcan","Quiche",238,"Y",18,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,8,1981,"San Lucas","Ixcan","Quiche",238,"Y",7,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
15,2,1982,"Santo Tomas","Ixcan","Quiche",238,"Y",150,"","Casos Presentados Anexo II Tomo X",2,"","14-20"
NA,NA,1982,"Pueblo Nuevo","Ixcan","Quiche",238,"Y",12,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
1,4,1982,"Xalbal","Ixcan","Quiche",238,"Y",10,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,NA,1980,"Santa Maria Dolores","Ixcan","Quiche",238,"Y",8,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
19,2,1982,"Pueblo Nuevo","Ixcan","Quiche",238,"Y",11,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
26,5,1982,"Nueva Comunidad","Ixcan","Quiche",238,"Y",9,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,7,1982,"Senexeja","Ixcan","Quiche",238,"Y",67,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,NA,1982,"Cooperativa San Antonio Chiquito","Ixcan","Quiche",238,"Y",3,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,5,1982,"Pueblo Nuevo","Ixcan","Quiche",238,"Y",NA,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,6,1982,"Ixtahuacan Chiquito","Ixcan","Quiche",238,"Y",6,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
14,2,1982,"Pueblo Nuevo","Ixcan","Quiche",238,"Y",11,"","Casos Presentados Anexo II Tomo X",1,"","14-20"
12,2,1982,"Pueblo Nuevo","Ixcan","Quiche",238,"Y",13,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,2,1982,"San Antonio Tzeja","Ixcan","Quiche",238,"Y",16,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
11,11,1982,"Buenos Aires","Ixcan","Quiche",238,"Y",7,"One family","Casos Presentados Anexo II Tomo X",NA,"","14-20"
31,3,1982,"Xalbal","Ixcan","Quiche",238,"Y",36,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,10,1982,"Chinateja","Ixcan","Quiche",238,"Mil and Pac",24,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,NA,1982,"","Ixcan","Quiche",238,"Y",10,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
NA,NA,1982,"Las Palmas","Ixcan","Quiche",238,"Y",18,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
4,1,1983,"Chamorro","Ixcan","Quiche",238,"Y",20,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
26,9,1981,"Santa Maria Dolores","Ixcan","Quiche",238,"Y",6,"","Casos Presentados Anexo II Tomo X",NA,"","14-20"
19,2,1982,"Esmeralda","Ixcan","Quiche",238,"Y",11,"","Casos Presentados Anexo II Tomo X",2,"","14-20"
